"","date_time","temperature"
"2007",2015-06-30,16.1567013888889
"2008",2015-07-01,16.6473263888889
"2009",2015-07-02,17.0368402777778
"2010",2015-07-03,17.3704861111111
"2011",2015-07-04,17.9657291666667
"2012",2015-07-05,18.2349652777778
"2013",2015-07-06,18.0918402777778
"2014",2015-07-07,18.2373611111111
"2015",2015-07-08,17.5072916666667
"2016",2015-07-09,17.1146875
"2017",2015-07-10,17.1140972222222
"2018",2015-07-11,17.2724652777778
"2019",2015-07-12,17.3561805555556
"2020",2015-07-13,17.4659375
"2021",2015-07-14,17.6042013888889
"2022",2015-07-15,17.7904861111111
"2023",2015-07-16,17.7586458333333
"2024",2015-07-17,17.8280555555556
"2025",2015-07-18,18.0629861111111
"2026",2015-07-19,17.8549652777778
"2027",2015-07-20,17.7304166666667
"2028",2015-07-21,18.0080208333333
"2029",2015-07-22,18.2377777777778
"2030",2015-07-23,18.3492013888889
"2031",2015-07-24,18.3877777777778
"2032",2015-07-25,18.2825347222222
"2033",2015-07-26,18.1202430555556
"2034",2015-07-27,17.8941666666667
"2035",2015-07-28,17.5804861111111
"2036",2015-07-29,17.5028472222222
"2037",2015-07-30,17.1870833333333
"2038",2015-07-31,16.8674652777778
"2039",2015-08-01,16.90875
"2040",2015-08-02,17.1169097222222
"2041",2015-08-03,17.3739930555556
"2042",2015-08-04,17.5628472222222
"2043",2015-08-05,17.6944791666667
"2044",2015-08-06,17.9652430555556
"2045",2015-08-07,18.2534027777778
"2046",2015-08-08,18.5064583333333
"2047",2015-08-09,18.6241319444444
"2048",2015-08-10,18.6986111111111
"2049",2015-08-11,18.7735416666667
"2050",2015-08-12,18.860625
"2051",2015-08-13,18.9359375
"2052",2015-08-14,18.8718055555556
"2053",2015-08-15,18.9795486111111
"2054",2015-08-16,19.0820833333333
"2055",2015-08-17,19.0539930555556
"2056",2015-08-18,18.9481944444444
"2057",2015-08-19,18.8585069444444
"2058",2015-08-20,18.9449652777778
"2059",2015-08-21,19.0521875
"2060",2015-08-22,19.1304513888889
"2061",2015-08-23,19.1621527777778
"2062",2015-08-24,18.9751041666667
"2063",2015-08-25,18.4050347222222
"2064",2015-08-26,18.2937847222222
"2065",2015-08-27,18.154375
"2066",2015-08-28,17.9217708333333
"2067",2015-08-29,17.9426736111111
"2068",2015-08-30,18.0813888888889
"2069",2015-08-31,18.2406944444444
"2070",2015-09-01,18.2755902777778
"2071",2015-09-02,17.9217708333333
"2072",2015-09-03,17.5631597222222
"2073",2015-09-04,17.1887847222222
"2074",2015-09-05,17.1040972222222
"2075",2015-09-06,16.5842013888889
"2076",2015-09-07,16.3654861111111
"2077",2015-09-08,16.3619097222222
"2078",2015-09-09,16.3433333333333
"2079",2015-09-10,16.3555555555556
"2080",2015-09-11,16.3673263888889
"2081",2015-09-12,16.3270833333333
"2082",2015-09-13,16.3907638888889
"2083",2015-09-14,16.5130902777778
"2084",2015-09-15,16.3656597222222
"2085",2015-09-16,16.1077083333333
"2086",2015-09-17,16.1861805555556
"2087",2015-09-18,16.1408333333333
"2088",2015-09-19,16.1282986111111
"2089",2015-09-20,16.0305902777778
"2090",2015-09-21,15.9312847222222
"2091",2015-09-22,15.8348263888889
"2092",2015-09-23,15.828125
